,Date,Province_State,Doses_admin,People_at_least_one_dose,People_fully_vaccinated,Total_additional_doses
124,2020-12-17,District of Columbia,0,0,0,0
125,2020-12-17,Florida,29,0,0,0
126,2020-12-17,Georgia,0,0,0,0
127,2020-12-17,Guam,0,0,0,0
128,2020-12-17,Hawaii,330,0,0,0
129,2020-12-17,Idaho,0,0,0,0
130,2020-12-17,Illinois,0,0,0,0
131,2020-12-17,Indiana,0,0,0,0
132,2020-12-17,Iowa,399,0,0,0
133,2020-12-17,Kansas,19,0,0,0
134,2020-12-17,Kentucky,273,0,0,0
135,2020-12-17,Louisiana,0,0,0,0
136,2020-12-17,Maine,0,0,0,0
137,2020-12-17,Maryland,0,0,0,0
138,2020-12-17,Massachusetts,0,0,0,0
139,2020-12-17,Michigan,5,0,0,0
140,2020-12-17,Minnesota,0,0,0,0
141,2020-12-17,Mississippi,5,0,0,0
142,2020-12-17,Missouri,886,0,0,0
143,2020-12-17,Montana,444,0,0,0
144,2020-12-17,Nebraska,0,0,0,0
145,2020-12-17,Nevada,173,0,0,0
146,2020-12-17,New Hampshire,934,0,0,0
147,2020-12-17,New Jersey,242,0,0,0
148,2020-12-17,New Mexico,122,0,0,0
149,2020-12-17,New York,2363,0,0,0
150,2020-12-17,North Carolina,101,0,0,0
151,2020-12-17,North Dakota,282,0,0,0
152,2020-12-17,Northern Mariana Islands,0,0,0,0
153,2020-12-17,Ohio,0,0,0,0
154,2020-12-17,Oklahoma,5,0,0,0
155,2020-12-17,Oregon,0,0,0,0
156,2020-12-17,Pennsylvania,0,0,0,0
157,2020-12-17,Puerto Rico,0,0,0,0
158,2020-12-17,Rhode Island,104,0,0,0
159,2020-12-17,South Carolina,2576,0,0,0
160,2020-12-17,South Dakota,5,0,0,0
161,2020-12-17,Tennessee,0,0,0,0
162,2020-12-17,Texas,29970,0,0,0
163,2020-12-17,Utah,0,0,0,0
164,2020-12-17,Vermont,20,0,0,0
165,2020-12-17,Virgin Islands,9,0,0,0
166,2020-12-17,Virginia,271,0,0,0
167,2020-12-17,Washington,0,0,0,0
168,2020-12-17,West Virginia,6692,0,0,0
169,2020-12-17,Wisconsin,192,0,0,0
170,2020-12-17,Wyoming,0,0,0,0
172,2020-12-18,Alabama,193,0,0,0
173,2020-12-18,Alaska,2,0,0,0
174,2020-12-18,American Samoa,0,0,0,0
175,2020-12-18,Arizona,3,0,0,0
176,2020-12-18,Arkansas,4,0,0,0
177,2020-12-18,California,273,0,0,0
178,2020-12-18,Colorado,351,0,0,0
179,2020-12-18,Connecticut,2790,0,0,0
180,2020-12-18,Delaware,0,0,0,0
181,2020-12-18,District of Columbia,0,0,0,0
182,2020-12-18,Florida,2540,0,0,0
183,2020-12-18,Georgia,0,0,0,0
184,2020-12-18,Guam,0,0,0,0
185,2020-12-18,Hawaii,1853,0,0,0
186,2020-12-18,Idaho,0,0,0,0
187,2020-12-18,Illinois,0,0,0,0
188,2020-12-18,Indiana,686,0,0,0
189,2020-12-18,Iowa,1693,0,0,0
190,2020-12-18,Kansas,187,0,0,0
191,2020-12-18,Kentucky,1504,0,0,0
192,2020-12-18,Louisiana,0,0,0,0
193,2020-12-18,Maine,3,0,0,0
194,2020-12-18,Maryland,3,0,0,0
195,2020-12-18,Massachusetts,69,0,0,0
196,2020-12-18,Michigan,244,0,0,0
197,2020-12-18,Minnesota,0,0,0,0
198,2020-12-18,Mississippi,74,0,0,0
199,2020-12-18,Missouri,2423,0,0,0
200,2020-12-18,Montana,1131,0,0,0
201,2020-12-18,Nebraska,1285,0,0,0
202,2020-12-18,Nevada,694,0,0,0
203,2020-12-18,New Hampshire,1990,0,0,0
204,2020-12-18,New Jersey,720,0,0,0
205,2020-12-18,New Mexico,309,0,0,0
206,2020-12-18,New York,8514,0,0,0
207,2020-12-18,North Carolina,661,0,0,0
208,2020-12-18,North Dakota,897,0,0,0
209,2020-12-18,Northern Mariana Islands,0,0,0,0
210,2020-12-18,Ohio,511,0,0,0
211,2020-12-18,Oklahoma,2257,0,0,0
212,2020-12-18,Oregon,198,0,0,0
213,2020-12-18,Pennsylvania,1681,0,0,0
214,2020-12-18,Puerto Rico,2129,0,0,0
215,2020-12-18,Rhode Island,112,0,0,0
216,2020-12-18,South Carolina,6831,0,0,0
217,2020-12-18,South Dakota,410,0,0,0
218,2020-12-18,Tennessee,0,0,0,0
219,2020-12-18,Texas,58150,0,0,0
220,2020-12-18,Utah,81,0,0,0
221,2020-12-18,Vermont,77,0,0,0
222,2020-12-18,Virgin Islands,22,0,0,0
223,2020-12-18,Virginia,271,0,0,0
224,2020-12-18,Washington,10,0,0,0
225,2020-12-18,West Virginia,10436,0,0,0
226,2020-12-18,Wisconsin,1002,0,0,0
227,2020-12-18,Wyoming,336,0,0,0
229,2020-12-19,Alabama,1647,0,0,0
230,2020-12-19,Alaska,2,0,0,0
231,2020-12-19,American Samoa,0,0,0,0
