Date,State,Number of Death Cases
1/22/20,Alabama,0
1/23/20,Alabama,0
1/24/20,Alabama,0
1/25/20,Alabama,0
1/26/20,Alabama,0
1/27/20,Alabama,0
1/28/20,Alabama,0
1/29/20,Alabama,0
1/30/20,Alabama,0
1/31/20,Alabama,0
2/1/20,Alabama,0
2/2/20,Alabama,0
2/3/20,Alabama,0
2/4/20,Alabama,0
2/5/20,Alabama,0
2/6/20,Alabama,0
2/7/20,Alabama,0
2/8/20,Alabama,0
2/9/20,Alabama,0
2/10/20,Alabama,0
2/11/20,Alabama,0
2/12/20,Alabama,0
2/13/20,Alabama,0
2/14/20,Alabama,0
2/15/20,Alabama,0
2/16/20,Alabama,0
2/17/20,Alabama,0
2/18/20,Alabama,0
2/19/20,Alabama,0
2/20/20,Alabama,0
2/21/20,Alabama,0
2/22/20,Alabama,0
2/23/20,Alabama,0
2/24/20,Alabama,0
2/25/20,Alabama,0
2/26/20,Alabama,0
2/27/20,Alabama,0
2/28/20,Alabama,0
2/29/20,Alabama,0
3/1/20,Alabama,0
3/2/20,Alabama,0
3/3/20,Alabama,0
3/4/20,Alabama,0
3/5/20,Alabama,0
3/6/20,Alabama,0
3/7/20,Alabama,0
3/8/20,Alabama,0
3/9/20,Alabama,0
3/10/20,Alabama,0
3/11/20,Alabama,0
3/12/20,Alabama,0
3/13/20,Alabama,0
3/14/20,Alabama,0
3/15/20,Alabama,0
3/16/20,Alabama,0
3/17/20,Alabama,0
3/18/20,Alabama,0
3/19/20,Alabama,0
3/20/20,Alabama,0
3/21/20,Alabama,0
3/22/20,Alabama,0
3/23/20,Alabama,0
3/24/20,Alabama,0
3/25/20,Alabama,1
3/26/20,Alabama,1
3/27/20,Alabama,4
3/28/20,Alabama,4
3/29/20,Alabama,10
3/30/20,Alabama,10
3/31/20,Alabama,23
4/1/20,Alabama,27
4/2/20,Alabama,32
4/3/20,Alabama,38
4/4/20,Alabama,44
4/5/20,Alabama,45
4/6/20,Alabama,49
4/7/20,Alabama,64
4/8/20,Alabama,66
4/9/20,Alabama,70
4/10/20,Alabama,80
4/11/20,Alabama,92
4/12/20,Alabama,93
4/13/20,Alabama,99
4/14/20,Alabama,114
4/15/20,Alabama,118
4/16/20,Alabama,133
4/17/20,Alabama,148
4/18/20,Alabama,153
4/19/20,Alabama,157
4/20/20,Alabama,163
4/21/20,Alabama,183
4/22/20,Alabama,196
4/23/20,Alabama,202
4/24/20,Alabama,209
4/25/20,Alabama,209
4/26/20,Alabama,219
4/27/20,Alabama,228
4/28/20,Alabama,242
4/29/20,Alabama,256
4/30/20,Alabama,272
5/1/20,Alabama,289
5/2/20,Alabama,288
5/3/20,Alabama,290
5/4/20,Alabama,298
5/5/20,Alabama,315
5/6/20,Alabama,343
5/7/20,Alabama,369
5/8/20,Alabama,383
5/9/20,Alabama,390
5/10/20,Alabama,393
5/11/20,Alabama,403
5/12/20,Alabama,435
5/13/20,Alabama,450
5/14/20,Alabama,473
5/15/20,Alabama,483
5/16/20,Alabama,485
5/17/20,Alabama,488
5/18/20,Alabama,489
5/19/20,Alabama,504
5/20/20,Alabama,522
5/21/20,Alabama,529
5/22/20,Alabama,541
5/23/20,Alabama,549
5/24/20,Alabama,551
5/25/20,Alabama,566
5/26/20,Alabama,580
5/27/20,Alabama,583
5/28/20,Alabama,591
5/29/20,Alabama,610
5/30/20,Alabama,618
5/31/20,Alabama,630
6/1/20,Alabama,646
6/2/20,Alabama,653
6/3/20,Alabama,653
6/4/20,Alabama,653
6/5/20,Alabama,676
6/6/20,Alabama,689
6/7/20,Alabama,692
6/8/20,Alabama,718
6/9/20,Alabama,729
6/10/20,Alabama,744
6/11/20,Alabama,755
6/12/20,Alabama,769
6/13/20,Alabama,773
6/14/20,Alabama,773
6/15/20,Alabama,774
6/16/20,Alabama,785
6/17/20,Alabama,790
6/18/20,Alabama,810
6/19/20,Alabama,822
6/20/20,Alabama,838
6/21/20,Alabama,839
6/22/20,Alabama,841
6/23/20,Alabama,864
6/24/20,Alabama,891
6/25/20,Alabama,896
6/26/20,Alabama,907
6/27/20,Alabama,919
6/28/20,Alabama,919
6/29/20,Alabama,929
6/30/20,Alabama,950
7/1/20,Alabama,972
7/2/20,Alabama,985
7/3/20,Alabama,1006
7/4/20,Alabama,1007
7/5/20,Alabama,1007
7/6/20,Alabama,1007
7/7/20,Alabama,1033
7/8/20,Alabama,1058
7/9/20,Alabama,1068
7/10/20,Alabama,1104
7/11/20,Alabama,1114
7/12/20,Alabama,1121
7/13/20,Alabama,1124
7/14/20,Alabama,1164
7/15/20,Alabama,1211
7/16/20,Alabama,1230
7/17/20,Alabama,1265
7/18/20,Alabama,1286
7/19/20,Alabama,1287
7/20/20,Alabama,1291
7/21/20,Alabama,1303
7/22/20,Alabama,1364
7/23/20,Alabama,1397
7/24/20,Alabama,1438
7/25/20,Alabama,1456
7/26/20,Alabama,1473
7/27/20,Alabama,1491
7/28/20,Alabama,1491
7/29/20,Alabama,1538
7/30/20,Alabama,1565
7/31/20,Alabama,1580
8/1/20,Alabama,1603
8/2/20,Alabama,1627
8/3/20,Alabama,1633
8/4/20,Alabama,1666
8/5/20,Alabama,1695
8/6/20,Alabama,1714
8/7/20,Alabama,1735
8/8/20,Alabama,1755
8/9/20,Alabama,1768
8/10/20,Alabama,1797
8/11/20,Alabama,1847
8/12/20,Alabama,1882
8/13/20,Alabama,1890
8/14/20,Alabama,1893
8/15/20,Alabama,1896
8/16/20,Alabama,1898
8/17/20,Alabama,1925
8/18/20,Alabama,1936
8/19/20,Alabama,1944
8/20/20,Alabama,1974
8/21/20,Alabama,1996
8/22/20,Alabama,2011
8/23/20,Alabama,2013
8/24/20,Alabama,2024
8/25/20,Alabama,2037
8/26/20,Alabama,2045
8/27/20,Alabama,2076
8/28/20,Alabama,2107
8/29/20,Alabama,2152
8/30/20,Alabama,2162
8/31/20,Alabama,2182
9/1/20,Alabama,2200
9/2/20,Alabama,2217
9/3/20,Alabama,2233
9/4/20,Alabama,2266
9/5/20,Alabama,2275
9/6/20,Alabama,2276
9/7/20,Alabama,2276
9/8/20,Alabama,2277
9/9/20,Alabama,2285
9/10/20,Alabama,2301
9/11/20,Alabama,2333
9/12/20,Alabama,2350
9/13/20,Alabama,2351
9/14/20,Alabama,2355
9/15/20,Alabama,2387
9/16/20,Alabama,2392
9/17/20,Alabama,2401
9/18/20,Alabama,2428
9/19/20,Alabama,2437
9/20/20,Alabama,2437
9/21/20,Alabama,2439
9/22/20,Alabama,2457
9/23/20,Alabama,2488
9/24/20,Alabama,2506
9/25/20,Alabama,2491
9/26/20,Alabama,2501
9/27/20,Alabama,2501
9/28/20,Alabama,2501
9/29/20,Alabama,2517
9/30/20,Alabama,2540
10/1/20,Alabama,2548
10/2/20,Alabama,2550
10/3/20,Alabama,2558
10/4/20,Alabama,2558
10/5/20,Alabama,2559
10/6/20,Alabama,2580
10/7/20,Alabama,2601
10/8/20,Alabama,2637
10/9/20,Alabama,2653
10/10/20,Alabama,2664
10/11/20,Alabama,2664
10/12/20,Alabama,2665
10/13/20,Alabama,2665
10/14/20,Alabama,2706
10/15/20,Alabama,2756
10/16/20,Alabama,2786
10/17/20,Alabama,2788
10/18/20,Alabama,2788
10/19/20,Alabama,2789
10/20/20,Alabama,2805
10/21/20,Alabama,2828
10/22/20,Alabama,2843
10/23/20,Alabama,2859
10/24/20,Alabama,2866
10/25/20,Alabama,2866
10/26/20,Alabama,2866
10/27/20,Alabama,2892
10/28/20,Alabama,2911
10/29/20,Alabama,2914
10/30/20,Alabama,2932
10/31/20,Alabama,2967
11/1/20,Alabama,2973
11/2/20,Alabama,2973
11/3/20,Alabama,2987
11/4/20,Alabama,3006
11/5/20,Alabama,3026
11/6/20,Alabama,3049
11/7/20,Alabama,3082
11/8/20,Alabama,3084
11/9/20,Alabama,3084
11/10/20,Alabama,3120
11/11/20,Alabama,3201
11/12/20,Alabama,3213
11/13/20,Alabama,3231
11/14/20,Alabama,3246
11/15/20,Alabama,3248
11/16/20,Alabama,3249
11/17/20,Alabama,3301
11/18/20,Alabama,3347
11/19/20,Alabama,3419
11/20/20,Alabama,3451
11/21/20,Alabama,3457
11/22/20,Alabama,3457
11/23/20,Alabama,3459
11/24/20,Alabama,3472
11/25/20,Alabama,3532
11/26/20,Alabama,3572
11/27/20,Alabama,3572
11/28/20,Alabama,3572
11/29/20,Alabama,3577
11/30/20,Alabama,3578
12/1/20,Alabama,3638
12/2/20,Alabama,3711
12/3/20,Alabama,3776
12/4/20,Alabama,3831
12/5/20,Alabama,3877
12/6/20,Alabama,3889
12/7/20,Alabama,3892
12/8/20,Alabama,3942
12/9/20,Alabama,3985
12/10/20,Alabama,4034
12/11/20,Alabama,4086
12/12/20,Alabama,4102
12/13/20,Alabama,4102
12/14/20,Alabama,4102
12/15/20,Alabama,4124
12/16/20,Alabama,4198
12/17/20,Alabama,4254
12/18/20,Alabama,4296
12/19/20,Alabama,4389
12/20/20,Alabama,4389
12/21/20,Alabama,4389
12/22/20,Alabama,4452
12/23/20,Alabama,4587
12/24/20,Alabama,4676
12/25/20,Alabama,4680
12/26/20,Alabama,4685
12/27/20,Alabama,4691
12/28/20,Alabama,4712
12/29/20,Alabama,4737
12/30/20,Alabama,4774
12/31/20,Alabama,4827
1/1/21,Alabama,4872
1/2/21,Alabama,4872
1/3/21,Alabama,4873
1/4/21,Alabama,4878
1/5/21,Alabama,4886
1/6/21,Alabama,4994
1/7/21,Alabama,5080
1/8/21,Alabama,5191
1/9/21,Alabama,5299
1/10/21,Alabama,5334
1/11/21,Alabama,5347
1/12/21,Alabama,5573
1/13/21,Alabama,5760
1/14/21,Alabama,5945
1/15/21,Alabama,6030
1/16/21,Alabama,6119
1/17/21,Alabama,6120
1/18/21,Alabama,6121
1/19/21,Alabama,6126
1/20/21,Alabama,6283
1/21/21,Alabama,6379
1/22/21,Alabama,6486
1/23/21,Alabama,6657
1/24/21,Alabama,6660
1/25/21,Alabama,6662
1/26/21,Alabama,6896
1/27/21,Alabama,7172
1/28/21,Alabama,7340
1/29/21,Alabama,7566
1/30/21,Alabama,7566
1/31/21,Alabama,7688
2/1/21,Alabama,7688
2/2/21,Alabama,7894
2/3/21,Alabama,8203
2/4/21,Alabama,8365
2/5/21,Alabama,8449
2/6/21,Alabama,8513
2/7/21,Alabama,8515
2/8/21,Alabama,8523
2/9/21,Alabama,8579
2/10/21,Alabama,8888
2/11/21,Alabama,9021
2/12/21,Alabama,9180
2/13/21,Alabama,9242
2/14/21,Alabama,9242
2/15/21,Alabama,9244
2/16/21,Alabama,9257
2/17/21,Alabama,9346
2/18/21,Alabama,9424
2/19/21,Alabama,9573
2/20/21,Alabama,9590
2/21/21,Alabama,9592
2/22/21,Alabama,9592
2/23/21,Alabama,9660
2/24/21,Alabama,9744
2/25/21,Alabama,9831
2/26/21,Alabama,9869
2/27/21,Alabama,9930
2/28/21,Alabama,9929
3/1/21,Alabama,9931
3/2/21,Alabama,9991
3/3/21,Alabama,10029
3/4/21,Alabama,10094
3/5/21,Alabama,10122
3/6/21,Alabama,10149
3/7/21,Alabama,10148
3/8/21,Alabama,10148
3/9/21,Alabama,10186
3/10/21,Alabama,10222
3/11/21,Alabama,10274
3/12/21,Alabama,10299
3/13/21,Alabama,10327
3/14/21,Alabama,10327
3/15/21,Alabama,10329
3/16/21,Alabama,10337
3/17/21,Alabama,10363
3/18/21,Alabama,10391
3/19/21,Alabama,10425
3/20/21,Alabama,10436
3/21/21,Alabama,10436
3/22/21,Alabama,10436
3/23/21,Alabama,10450
3/24/21,Alabama,10487
3/25/21,Alabama,10504
3/26/21,Alabama,10523
3/27/21,Alabama,10526
3/28/21,Alabama,10526
3/29/21,Alabama,10526
3/30/21,Alabama,10527
3/31/21,Alabama,10554
4/1/21,Alabama,10553
4/2/21,Alabama,10607
4/3/21,Alabama,10637
4/4/21,Alabama,10637
4/5/21,Alabama,10638
4/6/21,Alabama,10652
4/7/21,Alabama,10652
4/8/21,Alabama,10675
4/9/21,Alabama,10686
4/10/21,Alabama,10712
4/11/21,Alabama,10712
4/12/21,Alabama,10712
4/13/21,Alabama,10722
4/14/21,Alabama,10728
4/15/21,Alabama,10736
4/16/21,Alabama,10739
4/17/21,Alabama,10790
4/18/21,Alabama,10790
4/19/21,Alabama,10790
4/20/21,Alabama,10798
4/21/21,Alabama,10807
4/22/21,Alabama,10824
4/23/21,Alabama,10840
4/24/21,Alabama,10851
4/25/21,Alabama,10851
4/26/21,Alabama,10852
4/27/21,Alabama,10854
4/28/21,Alabama,10879
4/29/21,Alabama,10887
4/30/21,Alabama,10896
5/1/21,Alabama,10913
5/2/21,Alabama,10913
5/3/21,Alabama,10913
5/4/21,Alabama,10913
5/5/21,Alabama,10930
5/6/21,Alabama,10946
5/7/21,Alabama,10966
5/8/21,Alabama,10978
5/9/21,Alabama,10978
5/10/21,Alabama,10978
5/11/21,Alabama,10985
5/12/21,Alabama,10997
5/13/21,Alabama,11001
5/14/21,Alabama,11024
5/15/21,Alabama,11038
5/16/21,Alabama,11038
5/17/21,Alabama,11038
5/18/21,Alabama,11043
5/19/21,Alabama,11045
5/20/21,Alabama,11077
5/21/21,Alabama,11080
5/22/21,Alabama,11112
5/23/21,Alabama,11112
5/24/21,Alabama,11112
5/25/21,Alabama,11124
5/26/21,Alabama,11138
5/27/21,Alabama,11140
5/28/21,Alabama,11146
5/29/21,Alabama,11146
5/30/21,Alabama,11146
5/31/21,Alabama,11146
6/1/21,Alabama,11156
6/2/21,Alabama,11167
6/3/21,Alabama,11188
6/4/21,Alabama,11198
6/5/21,Alabama,11198
6/6/21,Alabama,11198
6/7/21,Alabama,11217
6/8/21,Alabama,11220
6/9/21,Alabama,11249
6/10/21,Alabama,11252
6/11/21,Alabama,11266
6/12/21,Alabama,11266
6/13/21,Alabama,11266
6/14/21,Alabama,11274
6/15/21,Alabama,11281
6/16/21,Alabama,11288
6/17/21,Alabama,11288
6/18/21,Alabama,11306
6/19/21,Alabama,11306
6/20/21,Alabama,11306
6/21/21,Alabama,11311
6/22/21,Alabama,11311
6/23/21,Alabama,11328
6/24/21,Alabama,11328
6/25/21,Alabama,11336
6/26/21,Alabama,11336
6/27/21,Alabama,11336
6/28/21,Alabama,11338
6/29/21,Alabama,11338
6/30/21,Alabama,11352
7/1/21,Alabama,11352
7/2/21,Alabama,11358
7/3/21,Alabama,11358
7/4/21,Alabama,11358
7/5/21,Alabama,11358
7/6/21,Alabama,11358
7/7/21,Alabama,11387
7/8/21,Alabama,11387
7/9/21,Alabama,11398
7/10/21,Alabama,11402
7/11/21,Alabama,11402
7/12/21,Alabama,11402
7/13/21,Alabama,11402
7/14/21,Alabama,11428
7/15/21,Alabama,11439
7/16/21,Alabama,11442
7/17/21,Alabama,11443
7/18/21,Alabama,11443
7/19/21,Alabama,11443
7/20/21,Alabama,11460
7/21/21,Alabama,11462
7/22/21,Alabama,11468
7/23/21,Alabama,11472
7/24/21,Alabama,11483
7/25/21,Alabama,11483
7/26/21,Alabama,11483
7/27/21,Alabama,11492
7/28/21,Alabama,11510
7/29/21,Alabama,11510
7/30/21,Alabama,11510
7/31/21,Alabama,11536
8/1/21,Alabama,11536
8/2/21,Alabama,11536
8/3/21,Alabama,11542
8/4/21,Alabama,11561
8/5/21,Alabama,11574
8/6/21,Alabama,11600
8/7/21,Alabama,11624
8/8/21,Alabama,11624
8/9/21,Alabama,11625
8/10/21,Alabama,11648
8/11/21,Alabama,11689
8/12/21,Alabama,11724
8/13/21,Alabama,11765
8/14/21,Alabama,11765
8/15/21,Alabama,11798
8/16/21,Alabama,11799
8/17/21,Alabama,11832
8/18/21,Alabama,11872
8/19/21,Alabama,11914
8/20/21,Alabama,11942
8/21/21,Alabama,12000
8/22/21,Alabama,12000
8/23/21,Alabama,12000
8/24/21,Alabama,12000
8/25/21,Alabama,12000
8/26/21,Alabama,12103
8/27/21,Alabama,12153
8/28/21,Alabama,12219
8/29/21,Alabama,12222
8/30/21,Alabama,12222
8/31/21,Alabama,12283
9/1/21,Alabama,12291
9/2/21,Alabama,12330
9/3/21,Alabama,12394
9/4/21,Alabama,12414
9/5/21,Alabama,12415
9/6/21,Alabama,12416
9/7/21,Alabama,12420
9/8/21,Alabama,12488
9/9/21,Alabama,12552
9/10/21,Alabama,12605
9/11/21,Alabama,12673
9/12/21,Alabama,12676
9/13/21,Alabama,12678
9/14/21,Alabama,12718
9/15/21,Alabama,12784
9/16/21,Alabama,12856
9/17/21,Alabama,13048
9/18/21,Alabama,13209
9/19/21,Alabama,13210
9/20/21,Alabama,13210
9/21/21,Alabama,13460
9/22/21,Alabama,13665
9/23/21,Alabama,13798
9/24/21,Alabama,13921
9/25/21,Alabama,14022
9/26/21,Alabama,14022
9/27/21,Alabama,14025
9/28/21,Alabama,14155
9/29/21,Alabama,14200
9/30/21,Alabama,14299
10/1/21,Alabama,14393
10/2/21,Alabama,14469
10/3/21,Alabama,14470
10/4/21,Alabama,14471
10/5/21,Alabama,14542
10/6/21,Alabama,14612
10/7/21,Alabama,14675
10/8/21,Alabama,14756
10/9/21,Alabama,14857
10/10/21,Alabama,14858
10/11/21,Alabama,14859
10/12/21,Alabama,14869
10/13/21,Alabama,14980
10/14/21,Alabama,15101
10/15/21,Alabama,15142
10/16/21,Alabama,15179
10/17/21,Alabama,15179
10/18/21,Alabama,15179
10/19/21,Alabama,15263
10/20/21,Alabama,15311
10/21/21,Alabama,15320
10/22/21,Alabama,15378
10/23/21,Alabama,15406
10/24/21,Alabama,15407
10/25/21,Alabama,15407
10/26/21,Alabama,15424
10/27/21,Alabama,15432
10/28/21,Alabama,15484
10/29/21,Alabama,15532
10/30/21,Alabama,15573
10/31/21,Alabama,15573
11/1/21,Alabama,15573
11/2/21,Alabama,15629
11/3/21,Alabama,15676
11/4/21,Alabama,15734
11/5/21,Alabama,15786
11/6/21,Alabama,15834
11/7/21,Alabama,15834
11/8/21,Alabama,15834
11/9/21,Alabama,15879
11/10/21,Alabama,15917
11/11/21,Alabama,15934
11/12/21,Alabama,15934
11/13/21,Alabama,15981
11/14/21,Alabama,15981
11/15/21,Alabama,15981
11/16/21,Alabama,15999
11/17/21,Alabama,16025
11/18/21,Alabama,16043
11/19/21,Alabama,16063
11/20/21,Alabama,16073
11/21/21,Alabama,16073
11/22/21,Alabama,16073
11/23/21,Alabama,16086
11/24/21,Alabama,16102
11/25/21,Alabama,16115
11/26/21,Alabama,16115
11/27/21,Alabama,16115
11/28/21,Alabama,16115
11/29/21,Alabama,16116
11/30/21,Alabama,16119
12/1/21,Alabama,16143
12/2/21,Alabama,16157
12/3/21,Alabama,16172
12/4/21,Alabama,16185
12/5/21,Alabama,16185
12/6/21,Alabama,16185
12/7/21,Alabama,16199
12/8/21,Alabama,16203
12/9/21,Alabama,16203
12/10/21,Alabama,16243
12/11/21,Alabama,16265
12/12/21,Alabama,16265
12/13/21,Alabama,16265
12/14/21,Alabama,16285
12/15/21,Alabama,16304
12/16/21,Alabama,16320
12/17/21,Alabama,16343
12/18/21,Alabama,16353
12/19/21,Alabama,16353
12/20/21,Alabama,16353
12/21/21,Alabama,16368
12/22/21,Alabama,16380
12/23/21,Alabama,16402
12/24/21,Alabama,16418
12/25/21,Alabama,16418
12/26/21,Alabama,16418
12/27/21,Alabama,16418
12/28/21,Alabama,16436
12/29/21,Alabama,16454
12/30/21,Alabama,16455
12/31/21,Alabama,16455
1/1/22,Alabama,16455
1/2/22,Alabama,16455
1/3/22,Alabama,16455
1/4/22,Alabama,16496
1/5/22,Alabama,16503
1/6/22,Alabama,16543
1/7/22,Alabama,16585
1/8/22,Alabama,16624
1/9/22,Alabama,16624
1/10/22,Alabama,16624
1/11/22,Alabama,16630
1/12/22,Alabama,16641
1/13/22,Alabama,16641
1/14/22,Alabama,16641
1/15/22,Alabama,16641
1/16/22,Alabama,16734
1/17/22,Alabama,16734
1/18/22,Alabama,16734
1/19/22,Alabama,16756
1/20/22,Alabama,16792
1/21/22,Alabama,16824
1/22/22,Alabama,16826
1/23/22,Alabama,16826
1/24/22,Alabama,16826
1/25/22,Alabama,16914
1/26/22,Alabama,16826
1/27/22,Alabama,16826
1/28/22,Alabama,17047
1/29/22,Alabama,17086
1/30/22,Alabama,17086
1/31/22,Alabama,17086
2/1/22,Alabama,17146
2/2/22,Alabama,17215
2/3/22,Alabama,17215
2/4/22,Alabama,17371
2/5/22,Alabama,17371
2/6/22,Alabama,17371
2/7/22,Alabama,17387
2/8/22,Alabama,17407
2/9/22,Alabama,17452
2/10/22,Alabama,17502
2/11/22,Alabama,17505
2/12/22,Alabama,17571
2/13/22,Alabama,17571
2/14/22,Alabama,17571
2/15/22,Alabama,17656
2/16/22,Alabama,17749
2/17/22,Alabama,17787
2/18/22,Alabama,17877
2/19/22,Alabama,17933
2/20/22,Alabama,17933
2/21/22,Alabama,17933
2/22/22,Alabama,17938
2/23/22,Alabama,18007
2/24/22,Alabama,18102
2/25/22,Alabama,18186
2/26/22,Alabama,18225
2/27/22,Alabama,18225
2/28/22,Alabama,18225
3/1/22,Alabama,18287
3/2/22,Alabama,18335
3/3/22,Alabama,18407
3/4/22,Alabama,18480
3/5/22,Alabama,18480
3/6/22,Alabama,18480
3/7/22,Alabama,18569
3/8/22,Alabama,18648
3/9/22,Alabama,18694
3/10/22,Alabama,18766
3/11/22,Alabama,18832
3/12/22,Alabama,18832
3/13/22,Alabama,18832
3/14/22,Alabama,18890
3/15/22,Alabama,18943
3/16/22,Alabama,18944
3/17/22,Alabama,18998
3/18/22,Alabama,19038
3/19/22,Alabama,19038
3/20/22,Alabama,19038
3/21/22,Alabama,19093
3/22/22,Alabama,19139
3/23/22,Alabama,19169
3/24/22,Alabama,19173
3/25/22,Alabama,19210
3/26/22,Alabama,19210
3/27/22,Alabama,19210
3/28/22,Alabama,19234
3/29/22,Alabama,19280
3/30/22,Alabama,19284
3/31/22,Alabama,19290
4/1/22,Alabama,19294
4/2/22,Alabama,19313
4/3/22,Alabama,19313
4/4/22,Alabama,19334
4/5/22,Alabama,19362
4/6/22,Alabama,19374
4/7/22,Alabama,19374
4/8/22,Alabama,19376
4/9/22,Alabama,19376
4/10/22,Alabama,19376
4/11/22,Alabama,19379
4/12/22,Alabama,19417
4/13/22,Alabama,19441
4/14/22,Alabama,19475
4/15/22,Alabama,19502
4/16/22,Alabama,19502
4/17/22,Alabama,19502
4/18/22,Alabama,19510
4/19/22,Alabama,19513
4/20/22,Alabama,19524
4/21/22,Alabama,19529
4/22/22,Alabama,19541
4/23/22,Alabama,19541
4/24/22,Alabama,19541
4/25/22,Alabama,19545
4/26/22,Alabama,19545
4/27/22,Alabama,19559
4/28/22,Alabama,19561
4/29/22,Alabama,19567
4/30/22,Alabama,19567
5/1/22,Alabama,19567
5/2/22,Alabama,19570
5/3/22,Alabama,19585
5/4/22,Alabama,19590
5/5/22,Alabama,19593
5/6/22,Alabama,19601
5/7/22,Alabama,19601
5/8/22,Alabama,19601
5/9/22,Alabama,19601
5/10/22,Alabama,19606
5/11/22,Alabama,19606
5/12/22,Alabama,19623
5/13/22,Alabama,19628
5/14/22,Alabama,19628
5/15/22,Alabama,19628
5/16/22,Alabama,19631
5/17/22,Alabama,19633
5/18/22,Alabama,19633
5/19/22,Alabama,19641
5/20/22,Alabama,19645
5/21/22,Alabama,19645
5/22/22,Alabama,19645
5/23/22,Alabama,19649
5/24/22,Alabama,19650
5/25/22,Alabama,19651
5/26/22,Alabama,19651
5/27/22,Alabama,19658
5/28/22,Alabama,19658
5/29/22,Alabama,19658
5/30/22,Alabama,19658
5/31/22,Alabama,19664
6/1/22,Alabama,19664
6/2/22,Alabama,19664
6/3/22,Alabama,19664
6/4/22,Alabama,19664
6/5/22,Alabama,19664
6/6/22,Alabama,19676
6/7/22,Alabama,19676
6/8/22,Alabama,19676
6/9/22,Alabama,19684
6/10/22,Alabama,19692
6/11/22,Alabama,19692
6/12/22,Alabama,19692
6/13/22,Alabama,19695
6/14/22,Alabama,19695
6/15/22,Alabama,19696
6/16/22,Alabama,19696
6/17/22,Alabama,19696
6/18/22,Alabama,19696
6/19/22,Alabama,19696
6/20/22,Alabama,19697
6/21/22,Alabama,19697
6/22/22,Alabama,19722
6/23/22,Alabama,19723
6/24/22,Alabama,19729
6/25/22,Alabama,19729
6/26/22,Alabama,19729
6/27/22,Alabama,19734
6/28/22,Alabama,19739
6/29/22,Alabama,19740
6/30/22,Alabama,19755
7/1/22,Alabama,19759
7/2/22,Alabama,19759
7/3/22,Alabama,19759
7/4/22,Alabama,19766
7/5/22,Alabama,19766
7/6/22,Alabama,19766
7/7/22,Alabama,19781
7/8/22,Alabama,19786
7/9/22,Alabama,19786
7/10/22,Alabama,19786
7/11/22,Alabama,19795
7/12/22,Alabama,19804
7/13/22,Alabama,19812
7/14/22,Alabama,19821
7/15/22,Alabama,19822
7/16/22,Alabama,19822
7/17/22,Alabama,19822
7/18/22,Alabama,19828
7/19/22,Alabama,19836
7/20/22,Alabama,19852
7/21/22,Alabama,19859
7/22/22,Alabama,19872
7/23/22,Alabama,19872
7/24/22,Alabama,19872
7/25/22,Alabama,19888
7/26/22,Alabama,19889
7/27/22,Alabama,19890
7/28/22,Alabama,19890
7/29/22,Alabama,19891
7/30/22,Alabama,19891
7/31/22,Alabama,19891
8/1/22,Alabama,19891
8/2/22,Alabama,19891
8/3/22,Alabama,19891
8/4/22,Alabama,19974
8/5/22,Alabama,19974
8/6/22,Alabama,19974
8/7/22,Alabama,19974
8/8/22,Alabama,19974
8/9/22,Alabama,19974
8/10/22,Alabama,19974
8/11/22,Alabama,20026
8/12/22,Alabama,20026
8/13/22,Alabama,20026
8/14/22,Alabama,20026
8/15/22,Alabama,20026
8/16/22,Alabama,20026
8/17/22,Alabama,20026
8/18/22,Alabama,20041
8/19/22,Alabama,20041
8/20/22,Alabama,20041
8/21/22,Alabama,20041
8/22/22,Alabama,20041
8/23/22,Alabama,20041
8/24/22,Alabama,20041
8/25/22,Alabama,20048
8/26/22,Alabama,20048
8/27/22,Alabama,20048
8/28/22,Alabama,20048
8/29/22,Alabama,20048
8/30/22,Alabama,20048
8/31/22,Alabama,20048
9/1/22,Alabama,20160
9/2/22,Alabama,20160
9/3/22,Alabama,20160
9/4/22,Alabama,20160
9/5/22,Alabama,20160
9/6/22,Alabama,20160
9/7/22,Alabama,20160
9/8/22,Alabama,20239
9/9/22,Alabama,20239
9/10/22,Alabama,20239
9/11/22,Alabama,20239
9/12/22,Alabama,20239
9/13/22,Alabama,20239
9/14/22,Alabama,20239
9/15/22,Alabama,20322
9/16/22,Alabama,20322
9/17/22,Alabama,20322
9/18/22,Alabama,20322
9/19/22,Alabama,20322
9/20/22,Alabama,20322
9/21/22,Alabama,20322
9/22/22,Alabama,20395
9/23/22,Alabama,20395
9/24/22,Alabama,20395
9/25/22,Alabama,20395
9/26/22,Alabama,20395
9/27/22,Alabama,20395
9/28/22,Alabama,20395
9/29/22,Alabama,20422
9/30/22,Alabama,20422
10/1/22,Alabama,20422
10/2/22,Alabama,20422
10/3/22,Alabama,20422
10/4/22,Alabama,20422
10/5/22,Alabama,20422
10/6/22,Alabama,20473
10/7/22,Alabama,20473
10/8/22,Alabama,20473
10/9/22,Alabama,20473
10/10/22,Alabama,20473
10/11/22,Alabama,20473
10/12/22,Alabama,20473
10/13/22,Alabama,20505
10/14/22,Alabama,20505
10/15/22,Alabama,20505
10/16/22,Alabama,20505
10/17/22,Alabama,20505
10/18/22,Alabama,20505
10/19/22,Alabama,20505
10/20/22,Alabama,20533
10/21/22,Alabama,20533
10/22/22,Alabama,20533
10/23/22,Alabama,20533
10/24/22,Alabama,20533
10/25/22,Alabama,20533
10/26/22,Alabama,20533
10/27/22,Alabama,20558
